date,selected_count,avg_return,win_rate,cumulative_return,selected_codes
2025-03-03,20,-0.015327326217098747,0.47058823529411764,-0.015327326217098758,"000562,603496,002167,002276,600031,600586,603799,002358,000425,600590,002580,002178,600832,600589,600068,002162,002298,002245,600206,000420"
2025-03-04,20,0.019881548145584352,0.625,0.004249490954357116,"000562,605066,002276,002326,002575,002178,002580,603876,600590,600832,600068,600478,002167,002369,000932,002013,689009,601012,000157,600808"
2025-03-05,20,0.029294979577433933,0.5294117647058824,0.033668959282513455,"000562,605066,002276,002326,600031,000425,600590,601177,002580,000409,002249,600667,002369,600832,600068,601608,000157,000932,600595,000678"
2025-03-06,20,-0.007122550745360881,0.5294117647058824,0.026306599666119368,"000562,002276,601020,002326,002706,000425,600031,002283,605066,002369,600832,601608,600019,600068,002195,000932,002155,002249,601717,002575"
2025-03-07,20,-0.01856531609421117,0.29411764705882354,0.007252893233742785,"000562,002276,002155,002706,000409,000425,600590,603799,601177,600019,002102,000932,603300,600478,600832,000678,002283,600068,600531,002369"
2025-03-10,20,0.028371649614918327,0.7368421052631579,0.03583031939418313,"000562,601020,600031,002276,603799,000425,603588,002155,600478,600592,603887,000665,002195,600361,002249,000700,600590,600711,000157,600531"
2025-03-11,20,-0.000514670517309876,0.3684210526315789,0.0352972080678553,"000562,601020,600031,000519,002155,603588,002195,603887,600361,002093,002249,002276,000678,600711,000425,600961,002580,600589,600960,000409"
2025-03-12,20,0.006582627911112926,0.5555555555555556,0.04211218436598019,"000562,601020,002105,002706,002155,002196,600031,002093,603588,600711,002276,002580,002195,002283,002183,002249,000409,600832,600589,600610"
2025-03-13,20,-0.00845543251687435,0.35294117647058826,0.03330067511606116,"000562,000665,601020,000678,002196,002093,002276,603588,600610,600478,002361,000409,600832,600068,600399,002162,603993,600967,000932,600589"
2025-03-14,20,0.0040108082581990015,0.42105263157894735,0.03744504599701948,"000562,002105,002093,600738,002196,002155,600711,601020,600031,600610,000678,600478,002162,002172,600490,600982,000409,603588,000630,000813"
2025-03-17,20,0.022198921987127217,0.7647058823529411,0.06047520763903891,"000562,002574,600711,002105,002196,601020,002093,000678,603588,600583,600031,000813,000630,600832,002042,600068,600478,600361,601890,002276"
2025-03-18,20,0.004304575884209162,0.47058823529411764,0.06504010364364343,"000562,002574,002196,002105,601020,000678,600583,600403,002086,601018,600489,603588,600428,002093,000630,002276,600478,002042,600832,600068"
2025-03-19,20,0.01418490463343336,0.631578947368421,0.0801475959446103,"000562,002342,600610,002196,601020,000678,000905,002724,601619,600101,002574,600982,002093,000630,600711,002276,601899,603993,002195,600979"
2025-03-20,20,-0.006581084978781643,0.42105263157894735,0.07303905282607204,"000562,002342,002278,002196,600610,600063,601619,000678,002559,002093,000630,600495,000737,600403,002553,601899,600583,601020,600320,002535"
2025-03-21,20,-0.0032349289243528735,0.47368421052631576,0.06956784775712488,"000562,002278,002342,600610,002164,002553,002724,002406,600583,600320,601890,002483,000737,002448,002863,002255,002498,000852,601020,601218"
2025-03-24,20,-0.02503721241583738,0.3684210526315789,0.04278885035967983,"000562,600610,002204,002724,002342,000737,600583,601226,601890,000571,002483,002278,000852,002498,603028,000878,600101,002554,601608,600577"
2025-03-25,20,0.019948424523481726,0.631578947368421,0.06359084503500823,"000562,000822,002204,000737,600101,601678,002278,601000,600320,002427,600348,002342,600758,000878,002165,600583,601857,000558,600310,002553"
2025-03-26,20,-0.0324677039906222,0.2631578947368421,0.029058492311275996,"000562,600610,002204,000822,002300,000737,600320,002278,002342,002165,600468,600727,601857,603169,600362,600583,000558,002255,601608,002498"
2025-03-27,20,-0.038168605627980204,0.25,-0.010219235449877018,"000562,002206,603011,002165,601857,002342,600727,002255,601678,002300,600789,600583,600832,600068,000737,601890,601028,600320,002630,600795"
2025-03-28,20,-0.04086403379043741,0.26666666666666666,-0.05066567005757827,"000562,603011,002165,600610,002342,002132,002427,601857,600832,600068,600795,603169,601028,600208,002013,601890,002278,600318,002639,000852"
2025-03-31,20,0.024608892185070744,0.4666666666666667,-0.027303603884438865,"000562,002132,603011,600988,002807,603690,603169,601857,600795,600832,600068,600489,000953,601028,689009,002013,601988,600027,601899,601939"
2025-04-01,20,-0.017011625385527425,0.2,-0.043850750589009446,"000562,002549,603011,603690,601857,600795,000953,600276,002165,600832,600721,600068,601028,002655,600863,002013,689009,600095,002255,002489"
2025-04-02,20,0.01067703891453416,0.6666666666666666,-0.033641907844945695,"000562,002549,603169,603011,600095,601169,600832,600068,002639,601328,600795,600789,601028,002255,002165,000558,002132,600353,601857,002013"
2025-04-03,20,-0.0571181767769388,0.125,-0.0888385201824834,"000562,002549,603169,600095,000597,600368,600832,002165,002255,600068,601328,603011,000558,600789,600795,601028,601000,600353,601988,600571"
2025-04-07,20,0.05653113759967774,0.8666666666666667,-0.03732952519139332,"000562,002549,600095,600598,601008,603169,600832,600032,600068,600292,600354,600161,601028,000713,002084,601229,002258,002013,600900,002165"
2025-04-08,20,-0.0013040442644296057,0.375,-0.03858489010260324,"000562,002549,600598,600095,600354,000713,002385,600900,603169,002258,600313,000876,600832,601229,600068,600127,603336,600108,601028,600368"
2025-04-09,20,-0.013509254052929395,0.1875,-0.05157289107253216,"000562,600598,601952,600354,600095,000713,002549,600900,603169,600832,603336,002385,600068,600368,601816,601728,601028,600965,002165,002714"
2025-04-10,20,-0.046581722169772355,0.1875,-0.09575225915887198,"000562,600598,002688,002084,000713,600540,600354,600095,603169,002385,002094,600832,600068,601728,601028,002549,600900,601933,600368,601888"
