code,name,strategy,score,grade,filters_passed,factor_ma5_bias,factor_ma5_slope,factor_v_ratio5,factor_limit_up_score,factor_cost_peak
300065,"",fund_behavior_trend,0.0,C,"data_freshness,delisting,st_filter,suspension,min_volume,turnover_rate,price_range,exclude_kcb,exclude_bse,sideways",,,,0,
002185,"",fund_behavior_trend,0.0,C,"data_freshness,delisting,st_filter,suspension,min_volume,turnover_rate,price_range,exclude_kcb,exclude_bse,sideways",,,,0,
002195,"",fund_behavior_trend,0.0,C,"data_freshness,delisting,st_filter,suspension,min_volume,turnover_rate,price_range,exclude_kcb,exclude_bse,sideways",,,,0,
601658,"",fund_behavior_trend,0.0,C,"data_freshness,delisting,st_filter,suspension,min_volume,turnover_rate,price_range,exclude_kcb,exclude_bse,sideways",,,,0,
002567,"",fund_behavior_trend,0.0,C,"data_freshness,delisting,st_filter,suspension,min_volume,turnover_rate,price_range,exclude_kcb,exclude_bse,sideways",,,,0,
002611,"",fund_behavior_trend,0.0,C,"data_freshness,delisting,st_filter,suspension,min_volume,turnover_rate,price_range,exclude_kcb,exclude_bse,sideways",,,,0,
600111,"",fund_behavior_trend,0.0,C,"data_freshness,delisting,st_filter,suspension,min_volume,turnover_rate,price_range,exclude_kcb,exclude_bse,sideways",,,,0,
600101,"",fund_behavior_trend,0.0,C,"data_freshness,delisting,st_filter,suspension,min_volume,turnover_rate,price_range,exclude_kcb,exclude_bse,sideways",,,,0,
601138,"",fund_behavior_trend,0.0,C,"data_freshness,delisting,st_filter,suspension,min_volume,turnover_rate,price_range,exclude_kcb,exclude_bse,sideways",,,,0,
601818,"",fund_behavior_trend,0.0,C,"data_freshness,delisting,st_filter,suspension,min_volume,turnover_rate,price_range,exclude_kcb,exclude_bse,sideways",,,,0,
000100,"",fund_behavior_trend,0.0,C,"data_freshness,delisting,st_filter,suspension,min_volume,turnover_rate,price_range,exclude_kcb,exclude_bse,sideways",,,,0,
600127,"",fund_behavior_trend,0.0,C,"data_freshness,delisting,st_filter,suspension,min_volume,turnover_rate,price_range,exclude_kcb,exclude_bse,sideways",,,,0,
600598,"",fund_behavior_trend,0.0,C,"data_freshness,delisting,st_filter,suspension,min_volume,turnover_rate,price_range,exclude_kcb,exclude_bse,sideways",,,,0,
300296,"",fund_behavior_trend,0.0,C,"data_freshness,delisting,st_filter,suspension,min_volume,turnover_rate,price_range,exclude_kcb,exclude_bse,sideways",,,,0,
600108,"",fund_behavior_trend,0.0,C,"data_freshness,delisting,st_filter,suspension,min_volume,turnover_rate,price_range,exclude_kcb,exclude_bse,sideways",,,,0,
600095,"",fund_behavior_trend,0.0,C,"data_freshness,delisting,st_filter,suspension,min_volume,turnover_rate,price_range,exclude_kcb,exclude_bse,sideways",,,,0,
601728,"",fund_behavior_trend,0.0,C,"data_freshness,delisting,st_filter,suspension,min_volume,turnover_rate,price_range,exclude_kcb,exclude_bse,sideways",,,,0,
600126,"",fund_behavior_trend,0.0,C,"data_freshness,delisting,st_filter,suspension,min_volume,turnover_rate,price_range,exclude_kcb,exclude_bse,sideways",,,,0,
300115,"",fund_behavior_trend,0.0,C,"data_freshness,delisting,st_filter,suspension,min_volume,turnover_rate,price_range,exclude_kcb,exclude_bse,sideways",,,,0,
002156,"",fund_behavior_trend,0.0,C,"data_freshness,delisting,st_filter,suspension,min_volume,turnover_rate,price_range,exclude_kcb,exclude_bse,sideways",,,,0,
