factor_name,ic_mean,ic_std,ic_ir,ic_positive_ratio,long_short_return,long_short_sharpe,top_quantile_return,bottom_quantile_return,turnover,max_drawdown,t_statistic,p_value
factor_ma_trend,0.0,0.0,0.0,0.0,0.04817433950795739,0.17872278396483138,0.10512445121444448,0.05695011170648713,0.0006902502157031924,-0.27110835430947344,0.0,1.0
factor_macd,0.0,0.0,0.0,0.0,0.04817433950795734,0.1787227839648312,0.10512445121444448,0.056950111706487144,0.0006902502157031924,-0.34290552332328395,0.0,1.0
factor_rsi,0.0,0.0,0.0,0.0,0.04817433950795734,0.1787227839648312,0.10512445121444448,0.05695011170648718,0.0006902502157031924,-0.251241876517581,0.0,1.0
factor_kdj,0.0,0.0,0.0,0.0,0.04817433950795746,0.1787227839648316,0.10512445121444455,0.05695011170648718,0.0006902502157031924,-0.2226855506351434,0.0,1.0
factor_bollinger,0.0,0.0,0.0,0.0,0.04817433950795745,0.17872278396483163,0.10512445121444457,0.05695011170648706,0.0006902502157031924,-0.32085826605773765,0.0,1.0
factor_atr,0.0,0.0,0.0,0.0,0.04817433950795734,0.1787227839648312,0.10512445121444457,0.056950111706487165,0.0006902502157031924,-0.24987287373650768,0.0,1.0
factor_cci,0.0,0.0,0.0,0.0,0.048174339507957395,0.1787227839648314,0.10512445121444457,0.05695011170648718,0.0006902502157031924,-0.2690037191054103,0.0,1.0
factor_wr,0.0,0.0,0.0,0.0,0.04817433950795746,0.17872278396483166,0.10512445121444462,0.05695011170648713,0.0006902502157031924,-0.18932928067704374,0.0,1.0
factor_dmi,0.0,0.0,0.0,0.0,0.04817433950795739,0.17872278396483138,0.10512445121444443,0.05695011170648713,0.0006902502157031924,-0.19485008030788645,0.0,1.0
factor_roc,0.0,0.0,0.0,0.0,0.04817433950795739,0.17872278396483138,0.10512445121444457,0.05695011170648713,0.0006902502157031924,-0.2673309243206475,0.0,1.0
factor_mtm,0.0,0.0,0.0,0.0,0.04817433950795741,0.17872278396483146,0.10512445121444453,0.056950111706487144,0.0006902502157031924,-0.33638819920690277,0.0,1.0
factor_asi,0.0,0.0,0.0,0.0,0.04817433950795746,0.1787227839648316,0.10512445121444453,0.05695011170648723,0.0006902502157031924,-0.1958131357849186,0.0,1.0
factor_emv,0.0,0.0,0.0,0.0,0.04817433950795743,0.17872278396483152,0.10512445121444448,0.056950111706487144,0.0006902502157031924,-0.2447954808639566,0.0,1.0
factor_psy,0.0,0.0,0.0,0.0,0.04817433950795743,0.17872278396483154,0.10512445121444453,0.056950111706487144,0.0006902502157031924,-0.2182616050731038,0.0,1.0
factor_ma5_bias,-0.01937104062686214,0.2392063189071936,-0.08098047206845588,0.4673202614379085,0.37080605010322076,1.0617546144087446,0.2140667386407551,-0.1567393114624656,0.4372735116479724,-0.18410911128935478,-1.414263144259631,0.1583046308332676
factor_volume_ratio,0.0,0.0,0.0,0.0,0.048174339507957395,0.17872278396483138,0.10512445121444453,0.05695011170648711,0.0006902502157031924,-0.24417678548116586,0.0,1.0
factor_turnover,0.0,0.0,0.0,0.0,0.04817433950795732,0.17872278396483113,0.1051244512144445,0.05695011170648713,0.0006902502157031924,-0.2505132785174617,0.0,1.0
factor_obv,0.0,0.0,0.0,0.0,0.04817433950795737,0.17872278396483127,0.1051244512144445,0.05695011170648719,0.0006902502157031924,-0.20713609651254258,0.0,1.0
factor_vr,0.0,0.0,0.0,0.0,0.048174339507957395,0.1787227839648314,0.10512445121444448,0.05695011170648713,0.0006902502157031924,-0.23843733470097175,0.0,1.0
factor_mfi,0.0,0.0,0.0,0.0,0.04817433950795734,0.17872278396483118,0.10512445121444448,0.056950111706487165,0.0006902502157031924,-0.2576332813314901,0.0,1.0
factor_vma,0.0,0.0,0.0,0.0,0.04817433950795741,0.17872278396483146,0.10512445121444453,0.05695011170648716,0.0006902502157031924,-0.241496923037455,0.0,1.0
factor_vosc,0.0,0.0,0.0,0.0,0.04817433950795739,0.17872278396483135,0.10512445121444455,0.05695011170648713,0.0006902502157031924,-0.2859755488650559,0.0,1.0
factor_wvad,0.0,0.0,0.0,0.0,0.04817433950795743,0.17872278396483154,0.10512445121444453,0.05695011170648723,0.0006902502157031924,-0.3434398472067408,0.0,1.0
factor_v_ratio10,-0.024153722920486155,0.14343261810243227,-0.16839769949145597,0.4150326797385621,-0.25615225297502775,-1.2383369013611716,-0.08623976927995344,0.16991248369507417,0.8769628990509057,-0.36469485723770206,-2.9409393880483976,0.0035226534318442606
factor_v_total,0.0,0.0,0.0,0.0,0.048174339507957374,0.17872278396483135,0.10512445121444457,0.05695011170648713,0.0006902502157031924,-0.22730533196528133,0.0,1.0
factor_limit_up_score,0.0,0.0,0.0,0.0,0.04817433950795741,0.17872278396483143,0.10512445121444443,0.05695011170648716,0.0006902502157031924,-0.2271440643837229,0.0,1.0
factor_pioneer_status,0.0,0.0,0.0,0.0,0.04817433950795741,0.17872278396483146,0.10512445121444462,0.0569501117064872,0.0006902502157031924,-0.21922600214735297,0.0,1.0
factor_cost_peak,-0.02975179154084087,0.22416580218303572,-0.13272225848502955,0.45098039215686275,-0.22292630737232183,-0.8425890586995145,0.0015634668807372677,0.2244897742530591,0.014495254529767038,-0.41347649224589916,-2.3178945961145283,0.021116487969780683
factor_market_temperature,0.0,0.0,0.0,0.0,0.048174339507957395,0.17872278396483138,0.10512445121444448,0.05695011170648716,0.0006902502157031924,-0.3388146259974069,0.0,1.0
factor_market_breadth,0.0,0.0,0.0,0.0,0.04817433950795736,0.1787227839648313,0.10512445121444443,0.05695011170648718,0.0006902502157031924,-0.23179347194237393,0.0,1.0
factor_market_sentiment,-0.04723701180677209,0.16204713541667967,-0.29150167749222633,0.4084967320261438,-0.3086091428192611,-1.2132246556689903,-0.14368519050482273,0.16492395231443835,0.15720448662640207,-0.39130060747771656,-5.09085793694329,6.248868173092765e-7
factor_market_trend,0.03716510257202353,0.2453496376176131,0.1514781229469219,0.5882352941176471,0.42029000427334706,1.293402520118627,0.22915025761524407,-0.1911397466581031,0.09646246764452113,-0.18450896560393892,2.645451686974164,0.008581004905251993
factor_market_health,-0.03611957126638891,0.18540463796346962,-0.194814820508997,0.4276315789473684,-0.06848018585531293,-0.2666917986927338,-0.017236477265531538,0.0512437085897815,0.3421915444348576,-0.21163838803513577,-3.3911211611877987,0.0007884203992327
