factor_name,ic_mean,ic_ir,long_short_return,p_value
factor_ma_trend,0.0,0.0,NaN,1.0
factor_macd,0.0,0.0,NaN,1.0
factor_rsi,0.0,0.0,NaN,1.0
factor_kdj,0.0,0.0,NaN,1.0
factor_bollinger,0.0,0.0,NaN,1.0
factor_atr,0.0,0.0,NaN,1.0
factor_cci,0.0,0.0,NaN,1.0
factor_wr,0.0,0.0,NaN,1.0
factor_dmi,0.0,0.0,NaN,1.0
factor_roc,0.0,0.0,NaN,1.0
factor_mtm,0.0,0.0,NaN,1.0
factor_asi,0.0,0.0,NaN,1.0
factor_emv,0.0,0.0,NaN,1.0
factor_psy,0.0,0.0,NaN,1.0
factor_ma5_bias,-0.03984346565991606,-0.222095136474266,NaN,0.00014250960448569227
factor_volume_ratio,0.0,0.0,NaN,1.0
factor_turnover,0.0,0.0,NaN,1.0
factor_obv,0.0,0.0,NaN,1.0
factor_vr,0.0,0.0,NaN,1.0
factor_mfi,0.0,0.0,NaN,1.0
factor_vma,0.0,0.0,NaN,1.0
factor_vosc,0.0,0.0,NaN,1.0
factor_wvad,0.0,0.0,NaN,1.0
factor_v_ratio10,-0.01745081576297433,-0.1983843620111434,NaN,0.0006595647840754604
factor_v_total,0.0,0.0,NaN,1.0
factor_limit_up_score,0.0,0.0,NaN,1.0
factor_pioneer_status,0.0,0.0,NaN,1.0
factor_cost_peak,-0.04926044878433647,-0.2653435284067217,NaN,6.1338308168037636e-6
factor_market_temperature,0.0,0.0,NaN,1.0
factor_market_breadth,0.0,0.0,NaN,1.0
factor_market_sentiment,-0.0722881056199186,-0.6771824855881964,NaN,1.734418727920555e-26
factor_market_trend,0.048523648003961015,0.22188249711243466,NaN,0.00014457008764133173
factor_market_health,-0.054296798093989906,-0.3859058020617317,NaN,1.0544229711163588e-10
factor_pe_proxy,0.05367140307900419,0.24019661221430935,NaN,0.00007077929697712236
factor_pb_proxy,-0.07049520583549386,-0.3595758693479195,NaN,4.8988244399338555e-9
factor_roe_proxy,-0.0680758151276303,-0.41680489307247587,NaN,5.40484212874732e-10
factor_value_score,-0.07355216170044411,-0.49875507889651005,NaN,0.0009116306918183269
factor_quality_score,-0.06706234672591269,-0.5364358472070205,NaN,1.1657476682996622e-16
xgboost_combined,0.2248245936008584,1.3918764818652911,NaN,2.1147848262311286e-72
dynamic_weighted,0.0,0.0,NaN,1.0
